productNum,productAcctNum,PortfolioNum,exchId,stkId,stkName,bsFlag,OCFlag,BsType,limitQty,CompareType,occurTime
23,28,30,0,600000,浦发银行,B,O,B,5000,0,20221010140608
48,66,78,0,600000,浦发银行,B,O,B,5000,0,20221010145602
51,69,81,0,600000,浦发银行,B,O,B,10000,0,20220610120841
