optPosId,optPosFlag,productNum,productAcctNum,PortfolioNum,queryPermitFlag,operPermitFlag,checkPermitFlag,approvalPermitFlag,PermitFlag
00000000,0,2,2,-1,0,0,1,0,1
00000000,0,2,2,3,0,0,1,0,1
00000000,0,2,2,317,0,0,1,0,1
00000000,0,2,285,-1,0,0,1,0,1
00000000,0,2,285,316,0,0,1,0,1
00000000,0,2,286,-1,0,0,1,0,1
00000000,0,2,286,318,0,0,1,0,1
00000000,0,2,324,-1,0,0,1,0,1
00000000,0,2,324,360,0,0,1,0,1
00000000,0,2,364,-1,0,0,1,0,1
00000000,0,2,364,401,0,0,1,0,1
00000000,0,2,417,-1,0,0,1,0,1
00000000,0,2,417,454,0,0,1,0,1
00000000,0,2,430,-1,0,0,1,0,1
00000000,0,2,430,467,0,0,1,0,1
00000000,0,2,431,-1,0,0,1,0,1
00000000,0,2,431,468,0,0,1,0,1
00000000,0,2,432,-1,0,0,1,0,1
00000000,0,2,432,469,0,0,1,0,1
00000000,0,2,434,-1,0,0,1,0,1
00000000,0,2,434,471,0,0,1,0,1
00000000,0,2,435,-1,0,0,1,0,1
00000000,0,2,435,472,0,0,1,0,1
00000000,0,2,438,-1,0,0,1,0,1
00000000,0,2,438,475,0,0,1,0,1
00000000,0,2,637,-1,0,0,1,0,1
00000000,0,2,637,679,0,0,1,0,1
00000000,0,2,638,-1,0,0,1,0,1
00000000,0,2,638,680,0,0,1,0,1
00000000,0,3,3,-1,0,0,1,0,1
00000000,0,3,3,4,0,0,1,0,1
00000000,0,3,440,-1,0,0,1,0,1
00000000,0,3,440,477,0,0,1,0,1
00000000,0,3,441,-1,0,0,1,0,1
00000000,0,3,441,478,0,0,1,0,1
00000000,0,3,442,-1,0,0,1,0,1
00000000,0,3,442,479,0,0,1,0,1
00000000,0,3,443,-1,0,0,1,0,1
00000000,0,3,443,480,0,0,1,0,1
00000000,0,3,444,-1,0,0,1,0,1
00000000,0,3,444,481,0,0,1,0,1
00000000,0,4,16,-1,0,0,1,0,1
00000000,0,4,16,17,0,0,1,0,1
00000000,0,4,17,-1,0,0,1,0,1
00000000,0,4,17,18,0,0,1,0,1
00000000,0,5,5,-1,0,0,1,0,1
00000000,0,5,5,6,0,0,1,0,1
00000000,0,5,445,-1,0,0,1,0,1
00000000,0,5,445,482,0,0,1,0,1
00000000,0,6,6,-1,0,0,1,0,1
00000000,0,6,6,7,0,0,1,0,1
00000000,0,7,7,-1,0,0,1,0,1
00000000,0,7,7,8,0,0,1,0,1
